seed,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2048,E3_rule_aura,189.2,0.5,0.5,0.8087855297157622,219.2,0.0,0.9500000000000001,134.0,1.0,17.0,5.0,0.0
2048,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.04861111111111111,9.5,0.0,0.10638888888888888,320.0,3.0,63.0,5.0,22.0
2048,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.09104938271604938,9.5,3.0,0.177608024691358,333.0,15.0,64.0,5.0,21.0
2048,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.08477011494252873,9.5,3.0,0.1744683908045977,340.0,9.0,64.0,5.0,23.0
2048,E7_ml_aura_ml_tsra_r,2.0,0.75,0.1875,0.0329512893982808,13.25,3.0,0.18293397803247374,353.0,6.0,63.0,5.0,30.0
2049,E1_baseline,3.0,0.5,0.5,0.33902439024390246,33.0,0.0,0.4645121951219512,337.0,2.0,76.0,0.0,0.0
2049,E2_fixed_attack,37.05,0.5,0.5,0.5376344086021505,67.05,0.0,0.722,335.0,5.0,80.0,1.0,0.0
2049,E3_rule_aura,171.45,0.25,0.25,0.8278481012658228,186.45,0.0,0.8250000000000001,147.0,2.0,32.0,5.0,0.0
2049,E4_rule_aura_basic_defense,3.0,0.5,0.125,0.09982788296041308,10.5,0.0,0.13866394148020655,331.0,5.0,75.0,5.0,19.0
2049,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.02826379542395693,9.5,3.0,0.1462152310453118,351.0,7.0,68.0,5.0,26.0
2049,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.0286493860845839,9.5,3.0,0.14640802637562528,348.0,10.0,70.0,5.0,25.0
2049,E7_ml_aura_ml_tsra_r,4.700000000000003,0.5,0.125,0.05913978494623656,12.200000000000003,3.0,0.1796532258064516,366.0,7.0,87.0,5.0,32.0
2050,E1_baseline,3.0,0.5,0.5,0.2935323383084577,33.0,0.0,0.44176616915422884,338.0,3.0,78.0,0.0,0.0
2050,E2_fixed_attack,28.64999999999999,0.5,0.5,0.5542406311637081,58.64999999999999,0.0,0.6659999999999999,358.0,6.0,88.0,1.0,0.0
2050,E3_rule_aura,170.34999999999997,0.75,0.75,0.8355437665782494,215.34999999999997,0.0,0.9500000000000001,128.0,5.0,18.0,5.0,0.0
2050,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.07952622673434856,9.5,0.0,0.12184644670050761,341.0,4.0,76.0,5.0,19.0
2050,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.06092124814264487,9.5,3.0,0.16254395740465577,356.0,16.0,74.0,5.0,22.0
2050,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.06466876971608833,9.5,3.0,0.1644177181913775,338.0,12.0,67.0,5.0,22.0
2050,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.03328509406657019,9.5,3.0,0.14872588036661843,343.0,18.0,63.0,5.0,29.0
2051,E1_baseline,4.0,0.5,0.5,0.3538812785388128,34.0,0.0,0.47860730593607304,348.0,0.0,74.0,0.0,0.0
2051,E2_fixed_attack,53.0,0.5,0.5,0.6245059288537549,83.0,0.0,0.8283333333333333,341.0,7.0,72.0,1.0,0.0
